company,ticker
ABB Ltd,ABB.ST
Alfa Laval AB,ALFA.ST
ASSA ABLOY AB B,ASSA-B.ST
Atlas Copco AB A,ATCO-A.ST
AstraZeneca PLC,AZN.ST
Telefonaktiebolaget LM Ericsson B,ERIC-B.ST
Epiroc AB A,EPI-A.ST
Essity AB B,ESSITY-B.ST
EQT AB,EQT.ST
Hexagon AB B,HEXA-B.ST
Hennes & Mauritz AB B,HM-B.ST
Investor AB B,INVE-B.ST
Nordea Bank Abp,NDA-SE.ST
Sandvik AB,SAND.ST
Skandinaviska Enskilda Banken AB A,SEB-A.ST
Svenska Handelsbanken AB A,SHB-A.ST
Skanska AB B,SKA-B.ST
SKF AB B,SKF-B.ST
Swedbank AB A,SWED-A.ST
Tele2 AB B,TEL2-B.ST
Telia Company AB,TELIA.ST
Volvo AB B,VOLV-B.ST
Boliden AB,BOL.ST
Saab AB B,SAAB-B.ST
Addtech AB B,ADDT-B.ST
Industrivarden AB C,INDU-C.ST
NIBE Industrier AB B,NIBE-B.ST
Evolution AB,EVO.ST
Lifco AB B,LIFCO-B.ST
Svenska Cellulosa AB SCA B,SCA-B.ST
